ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अक्ष	akṣa	m.	die in a game of dice
अक्ष	akṣa	m.	pivot
अक्ष	akṣa	m.	terrestrial latitude
अक्षक	akṣaka	m.	īndian rosewood [ ḍalbergia Oujeinensis - Bot. ]
अक्षक	akṣaka	m.,n.	clavicle
अक्षक	akṣaka	mn.	collar-bone
अक्षकर्ण	akṣakarṇa	m.	argument of the latitude
अक्षकर्ण	akṣakarṇa	m.	hypotenuse of the triangle formed with the gnomon of a dial and its shadow
अक्षकाम	akṣakāma	adj.	fond of dice
अक्षकितव	akṣakitava	m.	gambler
अक्षकी	akṣakī	m. n.	collar bone
अक्षग्र	akṣagra	n.	axle  [ also: end of axle ]
अक्षग्लह	akṣaglaha	m.	gambling
अक्षग्लह	akṣaglaha	m.	playing at dice
अक्षज	akṣaja	m.	diamond
अक्षज	akṣaja	m.	name of viṣṇu
अक्षज	akṣaja	m.	thunderbolt
अक्षत	akṣata	adj.	not crushed
अक्षत	akṣata	adj.	unbroken
अक्षत	akṣata	adj.	uninjured
अक्षत	akṣata	adj.	unthrashed
अक्षत	akṣata	adj.	whole
अक्षत	akṣata	mn.	boil or sore not produced by cutting
अक्षत	akṣata	mn.	eunuch
अक्षत	akṣata	mn.	unhusked barley-corns
अक्षत	akṣata	m.	ṣhiva
अक्षतयोनि	akṣatayoni	f.	virgin
अक्षता	akṣatā	f.	virgin
अक्षति	akṣati	verb	embrace
अक्षति	akṣati	verb	pass through
अक्षति	akṣati	verb	penetrate
अक्षति	akṣati	verb	pervade
अक्षति { अक्ष् }	akṣati   { akṣ }	verb	reach
अक्षदर्शक	akṣadarśaka	m.	judge i.e. one who sees lawsuits
अक्षदाय	akṣadāya	m.	handing over the dice in gambling
अक्षदृक्कर्मन्	akṣadṛkkarman	n.	operation or calculation for latitude
अक्षदृश्	akṣadṛś	m.	judge i.e. one who sees lawsuits
अक्षदेवन	akṣadevana	n.	dice-playing
अक्षदेवन	akṣadevana	n.	gambling
अक्षदेविन्	akṣadevin	m.	dice-player
अक्षदेविन्	akṣadevin	m.	gambler
अक्षद्यू	akṣadyū	m.	dice-player
अक्षद्यू	akṣadyū	m.	gambler
अक्षद्यूत	akṣadyūta	n.	gambling
अक्षद्रुग्ध	akṣadrugdha	adj.	hated by  dice
अक्षद्वार	akṣadvāra	n.	cavity in the axle of a car
अक्षधर	akṣadhara	adj.	holding dice
अक्षधर	akṣadhara	m.	fearsome Piraay tree    [ ṭrophis āspera - Bot ]
अक्षधर्म	akṣadharma	m.	laws or rules of gambling
अक्षधुरा	akṣadhurā	f.	axle-pin
अक्षधुर्	akṣadhur	f.	pin at the end of an axle
अक्षधुर्	akṣadhur	f.	pole attached to an axle
अक्षधूर्त	akṣadhūrta	m.	dice-rogue
अक्षधूर्त	akṣadhūrta	m.	gambler
अक्षधूर्तिल	akṣadhūrtila	m.	draft-ox
अक्षन्वत्	akṣanvat	adj.	having eyes
अक्षपटल	akṣapaṭala	n.	archive  [ of legal documents ]
अक्षपटल	akṣapaṭala	n.	auditing firm  [ ṛecords room ]
अक्षपटल	akṣapaṭala	n.	court of law
अक्षपटल	akṣapaṭala	n.	depository of legal document
अक्षपटलिक	akṣapaṭalika	m.	accountant general
अक्षपद्	akṣapad	m.	having his eyes fixed in abstraction on his feet
अक्षपाट	akṣapāṭa	m.	arena
अक्षपाट	akṣapāṭa	m.	place of contest
अक्षपाट	akṣapāṭa	m.	wrestling ground
अक्षपाटक	akṣapāṭaka	m.	judge i.e. arranger of a lawsuit
अक्षपाटिक	akṣapāṭika	m.	judge i.e. arranger of a lawsuit
अक्षपाद	akṣapāda	m.	having his eyes fixed in abstraction on his feet
अक्षप्रपातन	akṣaprapātana	n.	casting glances
अक्षप्रिय	akṣapriya	adj.	fond of playing dice
अक्षप्रिय	akṣapriya	adj.	or  favoured by dice
अक्षभा	akṣabhā	f.	shadow of latitude
अक्षभाग	akṣabhāga	m.	degree of latitude
अक्षभूमि	akṣabhūmi	f.	gambling place
अक्षभूमि	akṣabhūmi	f.	gambling-place
अक्षम	akṣama	adj.	envious
अक्षम	akṣama	adj.	impatient
अक्षम	akṣama	adj.	improper
अक्षम	akṣama	adj.	unable to endure
अक्षम	akṣama	adj.	unfit
अक्षमता	akṣamatā	f.	envy
अक्षमता	akṣamatā	f.	impatience
अक्षमता	akṣamatā	f.	inability
अक्षमता	akṣamatā	f.	incompetence
